General codes:
0x00000000: BSE_INFO_SUCCESS      = The operation was completed successfully. 
0x00000000: PDF_S_SUCCESS         = The operation was completed successfully. 

BSE:
0x80308001:  BSE_ERROR_MEMORY_ALLOCATE         = Memory allocation error. 
0x8041031D:  PDF_E_QNESTING                = Maximum depth of graphics state nesting by q and Q operators exceeded. 
0x8041031E:  PDF_E_CIDMAX                  = Maximum value of a CID exceeded. 
0x0041831F:  PDF_W_NUMBERVAL               = A number value is larger than 2^15-1. 
0x00418320:  PDF_W_NUMBERVAL2              = A number value's absolute value is larger than 2^31-1. 
0x80410401:  PDF_E_PAGE                    = The page doesn't exist. 
0x80410402:  PDF_E_PAGETYPE                = The page or page tree node has a missing or invalid "Type" key. 
0x80410403:  PDF_E_PAGEKIDS                = The page tree node has a missing or invalid "Kids" key. 
0x80410404:  PDF_E_PAGECOUNT               = The page tree node has a missing or invalid "Count" key. 
0x80410405:  PDF_E_PAGEPARENT              = The page or page tree node has a missing or invalid "Parent" key. 
0x80410406:  PDF_E_PAGERES                 = The page has a missing or invalid "Resources" key. 
0x80410407:  PDF_E_PAGEMEDIABOX            = The page has a missing or invalid "MediaBox" key. 
0x80410408:  PDF_E_NOPAGES                 = The document contains no pages. 
0x80410501:  PDF_E_TOKEN                   = An unexpected token was found. 
0x80410502:  PDF_E_OPERATOR                = The content stream contains an invalid operator. 
0x80410503:  PDF_E_OPERANDS                = The operator has an invalid number of operands. 
0x80410504:  PDF_E_OPNDSTACK               = An operand stack over- or underflow occurred. 
0x80410506:  PDF_E_OPNDSTRING              = The operand must be a string. 
0x80410507:  PDF_E_OPNDNAME                = The operand must be a name. 
0x80410508:  PDF_E_OPNDARRAY               = The operand must be an array. 
0x80410509:  PDF_E_OPNDDICT                = The operand must be a dictionary. 
0x8041050A:  PDF_E_OPNDVALUE               = The value %value% of an operand is out of range. 
0x8041050B:  PDF_E_UNKFONT                 = The name %name% of a font resource is unknown. 
0x8041050C:  PDF_E_UNKCOLORSPACE           = The name %name% of a color space resource is unknown. 
0x8041050D:  PDF_E_UNKGS                   = The name %name% of a graphics state dictionary resource is unknown. 
0x8041050E:  PDF_E_UNKPAT                  = The name %name% of a pattern dictionary resource is unknown. 
0x8041050F:  PDF_E_UNKXOBJ                 = The name %name% of a xobject resource is unknown. 
0x80410511:  PDF_E_GSSTACK                 = A graphics state stack over- or underflow occurred. 
0x80410512:  PDF_E_BEGINTEXT               = A begin text operator is missing. 
0x80410513:  PDF_E_ENDTEXT                 = An end text operator is missing. 
0x00418514:  PDF_W_BEGINPATH               = A path start operator was missing. 
0x80410514:  PDF_E_BEGINPATH               = A path start operator was missing. 
0x80410515:  PDF_E_EMPTYXOBJ               = The form xobject %name% has an empty or unreadable content stream. 
0x00410516:  PDF_I_UNUSEDPATH              = An path was constructed but not painted. 
0x00410518:  PDF_I_EMPTYPATH               = A path painting operator was used on an empty path. 
0x80410601:  PDF_E_STOPPED                 = The analysis has been stopped. 
0x00410602:  PDF_I_KEYIGNORED              = The key %key% was ignored. 
0x80410603:  PDF_E_VALTYPE                 = The value of the key %key% must be of type %type%. 
0x00418604:  PDF_W_KEYREQ                  = The key %key% is required but missing. 
0x80410604:  PDF_E_KEYREQ                  = The key %key% is required but missing. 
0x80410605:  PDF_E_VALIND                  = The value of the key %key% must be an indirect object. 
0x80410606:  PDF_E_VALDIR                  = The value of the key %key% must be a direct object. 
0x00418607:  PDF_W_VALREQ                  = The value of the key %key% is %v1% but must be %v2%. 
0x80410607:  PDF_E_VALREQ                  = The value of the key %key% is %v1% but must be %v2%. 
0x00418608:  PDF_W_KEYPROHIB               = The dictionary must not contain the key '%key%'. 
0x00418609:  PDF_W_VALPROHIB               = The key %key% has a value %val% which is prohibited. 
0x80410609:  PDF_E_VALPROHIB               = The key %key% has a value %val% which is prohibited. 
0x0041060A:  PDF_I_ATTRNOTREC              = The key %key% is present but not recommended. 
0x0041060B:  PDF_I_KEYRECOMM               = The key %key% is recommended. 
0x0041860C:  PDF_W_INCONSISTENCY           = The key %key1% is inconsistent with the key %key2%. 
0x8041060D:  PDF_E_VALNTYPE                = The value of the key %key% must not be of type %type%. 
0x0041860E:  PDF_W_NAMEENC                 = The name object must be UTF-8 encoded. 
0x0041860F:  PDF_W_EFPDF                   = The embedded file '%name%' is not a PDF file. 
0x00418610:  PDF_W_EFPDFA                  = The embedded file '%name%' must be PDF/A compliant. 
0x00418611:  PDF_W_IMPLCCONV               = ICCBased CMYK color space must not be used with overprint mode 1. 
0x00418612:  PDF_W_COLORANTMIS             = All '%name%' colorants must have the same tint transform and alternate space. 
0x00418613:  PDF_W_JPXNUMCHAN              = The number of color channels in the JPEG2000 data must not be %n%. 
0x00418614:  PDF_W_JPXCOLRAPPROX           = JPEG2000 data with multiple color space definitions and incorrect APPROX field. 
0x00418615:  PDF_W_JPXCOLRMETH             = The value of the METH entry in the 'colr' box in the JPEG2000 data is invalid. 
0x00418616:  PDF_W_JPXENUMCS               = The enumerated colour space %i% must not be used in JPEG2000 data. 
0x00418617:  PDF_W_JPXCIEJAB               = JPEG2000 enumerated colour space 19 (CIEJab) shall not be used. 
0x00418618:  PDF_W_JPXBITDEPTH             = All channels in JPEG2000 data must have a bit depth in the range from 1 to 38. 
0x00418619:  PDF_W_JPXCLRBD                = All color channels in JPEG2000 data must have the same bit depth. 
0x8041061A:  PDF_E_JPXOPACITY              = JPEG2000 data contains invalid opacity channels. 
0x8041061B:  PDF_E_JPXINVALID              = Error in JPEG2000 data. 
0x0041861C:  PDF_W_DEFBLENDCS              = The page must define a default blending color space. 
0x0041861D:  PDF_E_BLENDCS                 = The blending color space is of an invalid type. 
0x0041861E:  PDF_W_OCCNAMECOLL             = Two optional content configurations must not have the same name '%name%'. 
0x0041861F:  PDF_W_OCORDER                 = The order array in the OC configuration '%conf%' must contain '%ocg%'. 
0x00418620:  PDF_W_OIMISSMATCH             = The file must not contain different output intents. 
0x00418621:  PDF_W_APPNOSTATE              = The appearance must have state dictionaries (subdictionaries to 'N'). 
0x00418622:  PDF_W_NORES                   = The content stream must have an explicitly associated Resources dictionary. 
0x00418623:  PDF_W_NOUNICODE               = The unicode for cid %cid% is unknown. 
0x80410701:  PDF_E_FONTPROG                = The embedded font program '%font%' cannot be read. 
0x80410702:  PDF_E_FONTFILE                = The attribute %attr% of the font descriptor must match with the font type %type%. 
0x80410703:  PDF_E_CMAPEMB                 = The CMAP %name% must be embedded. 
0x00418704:  PDF_W_EMBED                   = The font %font% must be embedded. 
0x00418808:  PDF_W_SYSTEMFONT              = Font %f1%: The pre-installed font '%f2%' is used. 
0x00418809:  PDF_W_FONTREPLACE             = Font %f1%: The font was replaced with '%f2%'. 
0x0041880A:  PDF_W_OTFFONTPROG             = Font %font% has an OpenType font program that is not allowed. 
0x0041880B:  PDF_W_NOAFREF                 = File specification '%name%' not associated with an object. 
0x8041080C:  PDF_E_LOADPROFILE             = Error loading profile configuration file: %msg%       

PDF rendering module:
0x81410801:  PDF_E_PATTERNTYPE         = The pattern type %type% is unknown or not yet implemented. 
0x81410802:  PDF_E_CHARPROC            = Font %font%: The charproc of glyph '%glyph%' was not found. 
0x81410803:  PDF_E_SHADINGTYPE         = The shading type %type% is unknown or not yet implemented. 
0x81410804:  PDF_E_FONTINSTALL         = Font %font%: The font program '%fp%' couldn't be installed successfully. 
0x01418807:  PDF_W_PAINTMISSING        = The path is constructed but the painting operator is missing. 
0x8141880A:  PDF_E_GDIPLUS             = GDI+ error. 
0x8141880B:  PDF_E_GDI                 = GDI error. 

PDF validation module:
0x03418516:  PDF_W_APPSTATE            = The appearance has state dictionaries (subdictionaries to 'N'). 
0x83410517:  PDF_E_ICCINVALID          = The embedded ICC profile couldn't be read. 
0x03418518:  PDF_W_ICCVERSION          = The embedded ICC profile's version is not supported. 
0x83410519:  PDF_E_MULTIPLEOI          = The document has multiple PDF/A output intents. 
0x0341851A:  PDF_W_HEXODD              = A hexadecimal string contains an odd number of bytes. 
0x0341851B:  PDF_W_EOFDATA             = There is data after the EOF marker. 
0x0341851C:  PDF_W_LINEARID            = The ID in the 1st page and last trailer of a linearized file are different. 
0x0341851D:  PDF_W_XREFSPACE           = The separator in a xref subsection header must be a single space. 
0x0341851E:  PDF_W_XREFEOL             = The separator between 'xref' and the subsection must be an EOL. 
0x0341851F:  PDF_W_STREAMEOL           = The separator after 'stream' must be CR-LF or LF. 
0x03418520:  PDF_W_EOLENDSTREAM        = The separator before 'endstream' must be an EOL. 
0x03418521:  PDF_W_NUMSPACEGEN         = The separator between the object and generation number must be a single space. 
0x03418522:  PDF_W_GENSPACEOBJ         = The separator between the generation number and 'obj' must be a single space. 
0x03418523:  PDF_W_EOLOBJNUM           = The separator before the object number must be an EOL. 
0x03418524:  PDF_W_EOLENDOBJ           = The separator before an 'endobj' must be an EOL. 
0x03418525:  PDF_W_OBJEOL              = The separator after an 'obj' must be an EOL. 
0x03418526:  PDF_W_ENDOBJEOL           = The separator after an 'endobj' must be an EOL. 
0x03410527:  PDF_I_TRUETYPECMAP        = The embedded TrueType font %font% contains more than one cmap entries. 
0x03418527:  PDF_W_TRUETYPECMAP        = The embedded TrueType font %font% contains %err% cmap entries. 
0x83410528:  PDF_E_ICCDEVCLASS         = The embedded ICC profile's device class '%cls%' is not supported. 
0x03418529:  PDF_W_TTFCMAPFMT          = The embedded TrueType font %font% has a cmap(%pid%, %eid%) with format %format% that is not allowed. 
0x8341052B:  PDF_E_XMPPROPREQ          = The required XMP property '%prefix%:%propname%' is missing. 
0x0341852C:  XMP_W_PROPINV             = The property '%prop%' is not allowed in this XMP schema. 
0x8341052E:  PDF_E_XMPVALREQ           = The XMP property '%prefix%:%propname%' has the invalid value '%invval%'. Required is '%reqval%'. 
0x0341852F:  PDF_W_XMPENCODING         = Invalid encoding of XMP packet: %enc%, expected %exp%. 
0x03418531:  PDF_W_WIDTHMISSMATCH      = The width for character %cid% in font '%font%' does not match. 
0x83410531:  PDF_E_GLYPHMISSING        = The glyph for character %cid% in font '%font%' is missing. 
0x83410532:  PDF_E_NOENCODING          = The encoding for character code %code% in font '%font%' is missing. 
0x03418533:  PDF_E_XREFSTREAM          = The file contains cross reference streams. 
0x0341053D:  PDF_I_INFOXMPMISS         = The recommended XMP property '%prefix%:%propname%' for the document information entry '%infoentry%' is missing. 
0x8341053D:  PDF_E_INFOXMPMISS         = The required XMP property '%prefix%:%propname%' for the document information entry '%infoentry%' is missing. 
0x0341053E:  PDF_I_INFOXMPNSYNC        = The XMP property '%prefix%:%propname%' is not synchronized with the document information entry '%infoentry%'. 
0x8341053E:  PDF_E_INFOXMPNSYNC        = The XMP property '%prefix%:%propname%' is not synchronized with the document information entry '%infoentry%'. 
0x83410540:  PDF_E_CONVERSION          = Conversion errors in PDF to PDF/A conversion. 
0x83410541:  PDF_E_POSTANALYSIS        = Post analysis errors in PDF to PDF/A conversion. 
0x83410542:  PDF_E_DOWNGRADE           = File cannot be converted to meet this compliance: %msg%    
0x83410543:  PDF_E_MISSINGFONT         = Font '%font%' required but missing in font directories. 
0x83410544:  PDF_E_LINEARIZATION       = Linearization of the file failed. 
0x83410545:  PDF_E_ZUGFERDXML          = Failed to add ZUGFeRD invoice file. 
0x83410546:  PDF_E_INVCOMPLIANCE       = Invalid compliance specified. 
0x0341860D:  PDF_W_NOENCRYPTION        = The file must not be encrypted to be PDF/A conform. 
0x8341060F:  PDF_E_DESTPAGE            = The page reference in a destination is invalid. 
0x83410610:  PDF_E_DESTTYPE            = The type of a destination is unknown. 
0x83410611:  PDF_E_DESTOPNDS           = The number or the type of the destination operands is wrong. 
0x83410612:  PDF_E_CONFORMANCE         = The document does not conform to the requested standard. 
0x03418613:  PDF_W_EMBFILES            = The document contains embedded files. 
0x03418614:  PDF_W_DEVCOLOR            = A device-specific color space (%cs%) without an appropriate output intent is used. 
0x03418615:  PDF_W_APPNOENTRY          = The appearance dictionary doesn't contain an entry. 
0x03418616:  PDF_W_EXTSTM              = The content of the stream must not be in an external file. 
0x83410617:  PDF_E_INVCS               = The color space is invalid. 
0x03418618:  PDF_W_CIDSETVAL           = The value of the CIDSet[%cid%] of font %font% is %v1% but must be %v2%. 
0x03418619:  PDF_W_CHARSETM            = The CharSet of the font %font% must contain the name %name%. 
0x0341861A:  PDF_W_CHARSETE            = The CharSet of the font %font% must not contain the name %name%. 

PDF custom validation profile modules:
0x83510000:  CHK_E_FILESIZE1               = The file size exceeds the first limit. 
0x83510001:  CHK_E_FILESIZE2               = The file size exceeds the critical limit. 
0x83510002:  CHK_E_MAXPDFVERS              = The file's version is %v% but must be %max% or older. 
0x83510003:  CHK_E_MINPDFVERS              = The file's version is %v% but must be %min% or newer. 
0x83510004:  CHK_E_ENCRYPTION              = The file must %neg%be password protected. 
0x83510005:  CHK_E_FILTER                  = The filter "%filter%" is not allowed. 
0x83510100:  CHK_E_CREATOR                 = The creator "%crea%" must meet the organization's standard. 
0x83510101:  CHK_E_PRODUCER                = The producer "%prod%" must meet the organization's standard. 
0x83510102:  CHK_E_EFTYPE                  = The file attachment "%name%" is not allowed. 
0x83510103:  CHK_E_EF                      = The file attachment "%name%" is not allowed. 
0x83510180:  CHK_E_PAGESIZE                = The page size %width%x%height%mm of page no. %Page No.% is not on the approved list. 
0x83510181:  CHK_E_EMPTYPAGE               = The page no. %Page No.% must %neg%be blank. 
0x83510200:  CHK_E_SCANMAXDPI              = The scanned image's resolution is %dpi% DPI but must %max% DPI or less. 
0x83510201:  CHK_E_SCANMINDPI              = The scanned image's resolution is %dpi% DPI but must %min% DPI or more. 
0x83510202:  CHK_E_SCANCLR                 = The scanned image must %neg%include color. 
0x83510203:  CHK_E_OCRTEXT                 = The scanned image must %neg%be word searchable. 
0x83510210:  CHK_E_CLRUSED                 = The page no. %Page No.% must not contain colored objects. 
0x83510211:  CHK_E_TRANSPARENCYUSED        = The page no. %Page No.% must not contain transparent objects. 
0x83510220:  CHK_E_LAYERS                  = The document must %neg%contain layers. 
0x83510221:  CHK_E_HIDDENLAYERS            = The document must %neg%contain hidden layers. 
0x83510300:  CHK_E_FONT                    = The font %font% is not on the approved list. 
0x83510301:  CHK_E_FNTSUB                  = The font %font% must %neg%be subsetted. 
0x83510302:  CHK_E_FNTEMB                  = The font %font% must %neg%be embedded. 
0x83510600:  CHK_E_ANNOTATION              = The page no. %Page No.% must not contain %annot%. 
0x83510601:  CHK_E_ACTION                  = The document must not contain %action%. 
0x83510700:  CHK_E_SIGVAL                  = The digital signature of "%name%" is invalid: %msg%        

PDF signature handler:
0x85410001:  PDF_E_SIGCREA             = Signature creation error. 
0x85410002:  PDF_E_SIGVAL              = Signature validation error. 
0x85410003:  PDF_E_SIGGETLENGTH        = Signature length is zero. 
0x85410004:  PDF_E_SIGLENGTH           = Signature creation returns a length of %l1% which should not exceed %l2%. 
0x85410005:  PDF_E_INPSIG              = Input document must not be signed. 
0x85410006:  PDF_E_PDFASIG             = Signature would destroy PDF/A compliance. 
0x85410007:  PDF_E_SIGABG              = Unable to open signature background image '%path%'. 

JBIG2 compression module:
0x0A030013:  BSE_INFO_JB2          = The JB2 stream issued a message: '%msg%'. 
0x0A038014:  BSE_WARNING_JB2       = The JB2 stream caused a warning: '%msg%'. 
0x8A030015:  BSE_ERROR_JB2         = The JB2 stream caused an error: '%msg%'. 

DCT compression module:
0x8A040000:  JPEG_E_JMSG_NOMESSAGE                       = Error in DCT stream: Bogus message code %d. 
0x8A040001:  JPEG_E_JERR_BAD_ALIGN_TYPE                  = Error in DCT stream: ALIGN_TYPE is wrong, please fix. 
0x8A040002:  JPEG_E_JERR_BAD_ALLOC_CHUNK                 = Error in DCT stream: MAX_ALLOC_CHUNK is wrong, please fix. 
0x8A040003:  JPEG_E_JERR_BAD_BUFFER_MODE                 = Error in DCT stream: Bogus buffer control mode. 
0x8A040004:  JPEG_E_JERR_BAD_COMPONENT_ID                = Error in DCT stream: Invalid component ID %d in SOS. 
0x8A040005:  JPEG_E_JERR_BAD_CROP_SPEC                   = Error in DCT stream: Invalid crop request. 
0x8A040006:  JPEG_E_JERR_BAD_DCT_COEF                    = Error in DCT stream: DCT coefficient out of range. 
0x8A040007:  JPEG_E_JERR_BAD_DCTSIZE                     = Error in DCT stream: DCT scaled block size %dx%d not supported. 
0x8A040008:  JPEG_E_JERR_BAD_DROP_SAMPLING               = Error in DCT stream: Component index %d: mismatching sampling ratio %d:%d, %d:%d, %C. 
0x8A040009:  JPEG_E_JERR_BAD_HUFF_TABLE                  = Error in DCT stream: Bogus Huffman table definition. 
0x8A04000A:  JPEG_E_JERR_BAD_IN_COLORSPACE               = Error in DCT stream: Bogus input colorspace. 
0x8A04000B:  JPEG_E_JERR_BAD_J_COLORSPACE                = Error in DCT stream: Bogus JPEG colorspace. 
0x8A04000C:  JPEG_E_JERR_BAD_LENGTH                      = Error in DCT stream: Bogus marker length. 
0x8A04000D:  JPEG_E_JERR_BAD_LIB_VERSION                 = Error in DCT stream: Wrong JPEG library version: library is %d, caller expects %d. 
0x8A04000E:  JPEG_E_JERR_BAD_MCU_SIZE                    = Error in DCT stream: Sampling factors too large for interleaved scan. 
0x8A04000F:  JPEG_E_JERR_BAD_POOL_ID                     = Error in DCT stream: Invalid memory pool code %d. 
0x8A040010:  JPEG_E_JERR_BAD_PRECISION                   = Error in DCT stream: Unsupported JPEG data precision %d. 
0x8A040011:  JPEG_E_JERR_BAD_PROGRESSION                 = Error in DCT stream: Invalid progressive parameters Ss=%d Se=%d Ah=%d Al=%d. 
0x8A040012:  JPEG_E_JERR_BAD_PROG_SCRIPT                 = Error in DCT stream: Invalid progressive parameters at scan script entry %d. 
0x8A040013:  JPEG_E_JERR_BAD_SAMPLING                    = Error in DCT stream: Bogus sampling factors. 
0x8A040014:  JPEG_E_JERR_BAD_SCAN_SCRIPT                 = Error in DCT stream: Invalid scan script at entry %d. 
0x8A040015:  JPEG_E_JERR_BAD_STATE                       = Error in DCT stream: Improper call to JPEG library in state %d. 
0x8A040016:  JPEG_E_JERR_BAD_STRUCT_SIZE                 = Error in DCT stream: JPEG parameter struct mismatch: library thinks size is %u, caller expects %u. 
0x8A040017:  JPEG_E_JERR_BAD_VIRTUAL_ACCESS              = Error in DCT stream: Bogus virtual array access. 
0x8A040018:  JPEG_E_JERR_BUFFER_SIZE                     = Error in DCT stream: Buffer passed to JPEG library is too small. 
0x8A040019:  JPEG_E_JERR_CANT_SUSPEND                    = Error in DCT stream: Suspension not allowed here. 
0x8A04001A:  JPEG_E_JERR_CCIR601_NOTIMPL                 = Error in DCT stream: CCIR601 sampling not implemented yet. 
0x8A04001B:  JPEG_E_JERR_COMPONENT_COUNT                 = Error in DCT stream: Too many color components: %d, max %d. 
0x8A04001C:  JPEG_E_JERR_CONVERSION_NOTIMPL              = Error in DCT stream: Unsupported color conversion request. 
0x8A04001D:  JPEG_E_JERR_DAC_INDEX                       = Error in DCT stream: Bogus DAC index %d. 
0x8A04001E:  JPEG_E_JERR_DAC_VALUE                       = Error in DCT stream: Bogus DAC value 0x%x. 
0x8A04001F:  JPEG_E_JERR_DHT_INDEX                       = Error in DCT stream: Bogus DHT index %d. 
0x8A040020:  JPEG_E_JERR_DQT_INDEX                       = Error in DCT stream: Bogus DQT index %d. 
0x8A040021:  JPEG_E_JERR_EMPTY_IMAGE                     = Error in DCT stream: Empty JPEG image (DNL not supported). 
0x8A040022:  JPEG_E_JERR_EMS_READ                        = Error in DCT stream: Read from EMS failed. 
0x8A040023:  JPEG_E_JERR_EMS_WRITE                       = Error in DCT stream: Write to EMS failed. 
0x8A040024:  JPEG_E_JERR_EOI_EXPECTED                    = Error in DCT stream: Didn't expect more than one scan. 
0x8A040025:  JPEG_E_JERR_FILE_READ                       = Error in DCT stream: Input file read error. 
0x8A040026:  JPEG_E_JERR_FILE_WRITE                      = Error in DCT stream: Output file write error --- out of disk space?. 
0x8A040027:  JPEG_E_JERR_FRACT_SAMPLE_NOTIMPL            = Error in DCT stream: Fractional sampling not implemented yet. 
0x8A040028:  JPEG_E_JERR_HUFF_CLEN_OVERFLOW              = Error in DCT stream: Huffman code size table overflow. 
0x8A040029:  JPEG_E_JERR_HUFF_MISSING_CODE               = Error in DCT stream: Missing Huffman code table entry. 
0x8A04002A:  JPEG_E_JERR_IMAGE_TOO_BIG                   = Error in DCT stream: Maximum supported image dimension is %u pixels. 
0x8A04002B:  JPEG_E_JERR_INPUT_EMPTY                     = Error in DCT stream: Empty input file. 
0x8A04002C:  JPEG_E_JERR_INPUT_EOF                       = Error in DCT stream: Premature end of input file. 
